title,category,price_gbp,rating,availability,upc,scraped_at
Best of My Love (Fool's Gold #20),Romance,27.41,2,3,67dea6c75d6a1075,2026-03-31 17:00:33
Where Lightning Strikes (Bleeding Stars #3),Romance,39.77,3,1,def389ddfda6991b,2026-03-31 17:00:33
This One Moment (Pushing Limits #1),Romance,48.71,1,1,d6d98d3508c30f57,2026-03-31 17:00:33
"Rhythm, Chord & Malykhin",Romance,28.34,2,1,9efb397067eb7e8a,2026-03-31 17:00:33
My Perfect Mistake (Over the Top #1),Romance,38.92,2,1,fd78f89878479f56,2026-03-31 17:00:33
Listen to Me (Fusion #1),Romance,58.99,3,1,6e712ea24e77bd96,2026-03-31 17:00:33
Imperfect Harmony,Romance,34.74,4,1,f28f7299d38c0932,2026-03-31 17:00:33
Fighting Fate (Fighting #6),Romance,39.24,3,1,6390772a3094939d,2026-03-31 17:00:33
Deep Under (Walker Security #1),Romance,47.09,5,1,0072b94dfa30608e,2026-03-31 17:00:33
Charity's Cross (Charles Towne Belles #4),Romance,41.24,1,1,a96404cb928895f3,2026-03-31 17:00:33
Bounty (Colorado Mountain #7),Romance,37.26,4,1,abc0b15f2c907ff0,2026-03-31 17:00:33
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,Womens Fiction,57.36,4,15,fd8585283fc7d2d7,2026-03-31 17:00:33
Will You Won't You Want Me?,Womens Fiction,13.86,3,12,077b635ff2afc578,2026-03-31 17:00:33
Keep Me Posted,Womens Fiction,20.46,4,11,20dc4f1ac5d4fd9c,2026-03-31 17:00:33
Grey (Fifty Shades #4),Womens Fiction,48.49,4,11,b5953ca1f8a0b8d7,2026-03-31 17:00:33
Meternity,Womens Fiction,43.58,3,7,725cd8d23d78cdca,2026-03-31 17:00:33
Some Women,Womens Fiction,13.73,5,4,31f5bbf4974d29c9,2026-03-31 17:00:33
Shopaholic Ties the Knot (Shopaholic #3),Womens Fiction,48.39,5,4,38199c5d7da0c0ef,2026-03-31 17:00:33
Can You Keep a Secret?,Womens Fiction,21.94,1,4,0812f54c93d726ce,2026-03-31 17:00:33
Twenties Girl,Womens Fiction,42.8,2,3,8ebad30219b8679c,2026-03-31 17:00:33
The Undomestic Goddess,Womens Fiction,45.75,4,3,813cff2aefa5d1f0,2026-03-31 17:00:33
The Nanny Diaries (Nanny #1),Womens Fiction,52.53,5,3,6263c1d2997b8ce0,2026-03-31 17:00:33
The Devil Wears Prada (The Devil Wears Prada #1),Womens Fiction,44.29,1,3,a6ab0cb7106a67f2,2026-03-31 17:00:33
Something Borrowed (Darcy & Rachel #1),Womens Fiction,48.96,5,3,ac27ab4bcd9c492e,2026-03-31 17:00:33
Something Blue (Darcy & Rachel #2),Womens Fiction,54.62,1,3,3fc9d51d1c4d6ba7,2026-03-31 17:00:33
I've Got Your Number,Womens Fiction,19.69,1,3,6b32b561dab8036c,2026-03-31 17:00:33
The Edge of Reason (Bridget Jones #2),Womens Fiction,19.18,4,1,29fc016c459aeb14,2026-03-31 17:00:33
Bridget Jones's Diary (Bridget Jones #1),Womens Fiction,29.82,1,1,a2b4b685dfa94733,2026-03-31 17:00:33
Soumission,Fiction,50.1,1,20,6957f44c3847a760,2026-03-31 17:00:33
Private Paris (Private #10),Fiction,47.61,5,17,b12b89017878a60d,2026-03-31 17:00:33
"We Love You, Charlie Freeman",Fiction,50.27,5,16,8d455c7539795d2a,2026-03-31 17:00:33
Thirst,Fiction,17.27,5,16,709822d0b5bcb7f4,2026-03-31 17:00:33
The Murder That Never Was (Forensic Instincts #5),Fiction,54.11,3,16,d01ac97e2b8947c2,2026-03-31 17:00:33
Tuesday Nights in 1980,Fiction,21.04,2,15,b8736690cf263a3c,2026-03-31 17:00:33
The Vacationers,Fiction,42.15,4,15,fd3a622648667296,2026-03-31 17:00:33
The Regional Office Is Under Attack!,Fiction,51.36,5,15,0651062381f0636a,2026-03-31 17:00:33
Finders Keepers (Bill Hodges Trilogy #2),Fiction,53.53,5,15,edb3097e71330040,2026-03-31 17:00:33
The Time Keeper,Fiction,27.88,5,14,e9906e2f0d189745,2026-03-31 17:00:33
The Testament of Mary,Fiction,52.67,4,14,081305e6df719dff,2026-03-31 17:00:33
The First Hostage (J.B. Collins #2),Fiction,25.85,3,14,a86972014275e072,2026-03-31 17:00:33
Take Me with You,Fiction,45.21,3,14,2c04320e110a14a3,2026-03-31 17:00:33
Still Life with Bread Crumbs,Fiction,26.41,3,14,fe44cc816576c652,2026-03-31 17:00:33
Shtum,Fiction,55.84,4,14,830fb3967c74866d,2026-03-31 17:00:33
My Name Is Lucy Barton,Fiction,41.56,1,14,727bf2b86b19ad88,2026-03-31 17:00:33
My Mrs. Brown,Fiction,24.48,3,14,cc82685d9f49bc2c,2026-03-31 17:00:33
Mr. Mercedes (Bill Hodges Trilogy #1),Fiction,28.9,1,14,caa2e5b3fb1b2d4c,2026-03-31 17:00:33
I Am Pilgrim (Pilgrim #1),Fiction,10.6,4,14,aeff7b87a8e83ebb,2026-03-31 17:00:33
Eligible (The Austen Project #4),Fiction,27.09,3,14,9eaf58b03a2779cc,2026-03-31 17:00:33
Eight Hundred Grapes,Fiction,14.39,4,14,1d6dd0c87d90fe92,2026-03-31 17:00:33
Dear Mr. Knightley,Fiction,11.21,5,14,94a958ea126cdcd5,2026-03-31 17:00:33
Cometh the Hour (The Clifton Chronicles #6),Fiction,25.01,3,14,28cf0d1c51b491e5,2026-03-31 17:00:33
Balloon Animals,Fiction,17.03,3,14,9b65f676984c9f0c,2026-03-31 17:00:33
A Man Called Ove,Fiction,39.72,1,14,8682c03de6a844ff,2026-03-31 17:00:33
The Silent Sister (Riley MacPherson #1),Fiction,46.29,5,12,ce1ae197ada2aec4,2026-03-31 17:00:33
The Dinner Party,Fiction,56.54,2,12,c6ca293d4810e0d5,2026-03-31 17:00:33
The Improbability of Love,Fiction,59.45,1,11,437d8dea9272d0a9,2026-03-31 17:00:33
Mothering Sunday,Fiction,13.34,2,11,47e1b2d43f709995,2026-03-31 17:00:33
Lies and Other Acts of Love,Fiction,45.14,1,11,469508882dfc1991,2026-03-31 17:00:33
Daredevils,Fiction,16.34,3,11,f608c903c451f387,2026-03-31 17:00:33
11/22/63,Fiction,48.48,3,11,a9d7b75461084a26,2026-03-31 17:00:33
The Shack,Fiction,28.03,1,9,903a9f8090104c2c,2026-03-31 17:00:33
The High Mountains of Portugal,Fiction,51.15,1,8,4f283dfcbeccc0d4,2026-03-31 17:00:33
Miller's Valley,Fiction,58.54,2,8,bff270fe9c86a5a9,2026-03-31 17:00:33
Hystopia: A Novel,Fiction,21.96,4,8,0bfdef63285d3019,2026-03-31 17:00:33
The Bourne Identity (Jason Bourne #1),Fiction,42.78,4,7,d250657f0ebc5d73,2026-03-31 17:00:33
Sister Dear,Fiction,40.2,4,7,7ffebdd1d5148aef,2026-03-31 17:00:33
Memoirs of a Geisha,Fiction,49.67,3,7,dac4b5847454fd9b,2026-03-31 17:00:33
Me Before You (Me Before You #1),Fiction,19.02,1,6,7a2b51f69e81c722,2026-03-31 17:00:33
Deception Point,Fiction,40.32,4,6,4e3b183180e2a992,2026-03-31 17:00:33
The Little Paris Bookshop,Fiction,24.73,3,5,dfd9ff1f343cdaff,2026-03-31 17:00:33
The Firm,Fiction,45.56,3,5,ad84f18659e6bfe2,2026-03-31 17:00:33
The Expatriates,Fiction,44.58,2,5,fe7210553d56c097,2026-03-31 17:00:33
Siddhartha,Fiction,34.22,5,5,84bb29c53592ac40,2026-03-31 17:00:33
Last One Home (New Beginnings #1),Fiction,59.98,3,5,07e6810fd3236bda,2026-03-31 17:00:33
Digital Fortress,Fiction,58.0,5,5,94bb629a3f6dd00b,2026-03-31 17:00:33
Atlas Shrugged,Fiction,26.58,5,4,78a4ac98191ac675,2026-03-31 17:00:33
Three-Martini Lunch,Fiction,23.21,3,3,57f755143ee96fd4,2026-03-31 17:00:33
The Nightingale,Fiction,26.26,4,3,29d6d87f3418638b,2026-03-31 17:00:33
The Infinities,Fiction,27.41,1,3,554e9e2d532b3a87,2026-03-31 17:00:33
The Husband's Secret,Fiction,52.51,5,3,ff6bb30dd0c482a6,2026-03-31 17:00:33
The Da Vinci Code (Robert Langdon #2),Fiction,22.96,2,3,dabf11918b48b40c,2026-03-31 17:00:33
The Art of Fielding,Fiction,22.1,1,3,2858ac90c4758e1f,2026-03-31 17:00:33
Lila (Gilead #3),Fiction,12.47,3,3,4ef75307fb64e2ad,2026-03-31 17:00:33
Jurassic Park (Jurassic Park #1),Fiction,44.97,1,3,a0dd11f6abc421ec,2026-03-31 17:00:33
Inferno (Robert Langdon #4),Fiction,41.0,5,3,6c4646d90b60a56c,2026-03-31 17:00:33
Crazy Rich Asians (Crazy Rich Asians #1),Fiction,49.13,5,3,c9782ad2a0ed9331,2026-03-31 17:00:33
Big Little Lies,Fiction,22.11,1,3,d3f9c4539c0caa64,2026-03-31 17:00:33
The Course of Love,Fiction,16.78,3,2,f3c76b53b239f511,2026-03-31 17:00:33
When I'm Gone,Fiction,51.96,3,1,c5f91eb481427dc5,2026-03-31 17:00:33
The Silent Wife,Fiction,12.34,5,1,b78deb463531d078,2026-03-31 17:00:33
The Bette Davis Club,Fiction,30.66,3,1,dfb0849016bc122c,2026-03-31 17:00:33
Kitchens of the Great Midwest,Fiction,57.2,5,1,06f6a57a6d532844,2026-03-31 17:00:33
Bright Lines,Fiction,39.07,5,1,230ac636ea0ea415,2026-03-31 17:00:33
Birdsong: A Story in Pictures,Childrens,54.64,3,19,9528d0948525bf5f,2026-03-31 17:00:33
The Bear and the Piano,Childrens,36.89,1,18,9f6568e9c95f60b0,2026-03-31 17:00:33
The Secret of Dreadwillow Carse,Childrens,56.13,1,16,b5ea0b5dabed25a8,2026-03-31 17:00:33
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,Childrens,58.08,4,15,37c0cb19713d8dda,2026-03-31 17:00:33
Little Red,Childrens,13.47,3,15,4aa03792b50f0b22,2026-03-31 17:00:33
Walt Disney's Alice in Wonderland,Childrens,12.96,5,14,6a31307a81e8f3a8,2026-03-31 17:00:33
Twenty Yawns,Childrens,22.08,2,14,1d6443ffba9dfd80,2026-03-31 17:00:33
Rain Fish,Childrens,23.57,3,14,a6454e329f872b78,2026-03-31 17:00:33
Once Was a Time,Childrens,18.28,2,14,e34efcc824685332,2026-03-31 17:00:33
Luis Paints the World,Childrens,53.95,3,14,5b43cae640f2338a,2026-03-31 17:00:33
Nap-a-Roo,Childrens,25.08,1,9,913e7109cec0cb4c,2026-03-31 17:00:33
The Whale,Childrens,35.96,4,7,0ff9d10864db8364,2026-03-31 17:00:33
"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",Childrens,52.87,3,7,9639e89d20228e6e,2026-03-31 17:00:33
Raymie Nightingale,Childrens,34.41,2,7,31c56c4d0fe19340,2026-03-31 17:00:33
Playing from the Heart,Childrens,32.38,1,7,68008abf6409dfde,2026-03-31 17:00:33
Maybe Something Beautiful: How Art Transformed a Neighborhood,Childrens,22.54,1,5,81c68492ccd72941,2026-03-31 17:00:33
The Wild Robot,Childrens,56.07,3,3,75fed6a47f69859d,2026-03-31 17:00:33
The Thing About Jellyfish,Childrens,48.77,1,3,3d15714d4d3d15dd,2026-03-31 17:00:33
The Lonely Ones,Childrens,43.59,5,3,cf2f27fdf94ba20e,2026-03-31 17:00:33
The Day the Crayons Came Home (Crayons),Childrens,26.33,5,3,b22362b434e8ee62,2026-03-31 17:00:33
The Cat in the Hat (Beginner Books B-1),Childrens,16.26,2,3,b7f475238ed50429,2026-03-31 17:00:33
Red: The True Story of Red Riding Hood,Childrens,28.54,3,3,4c8ece50736f9e88,2026-03-31 17:00:33
Horrible Bear!,Childrens,37.52,2,3,cc1ac978a6835ef6,2026-03-31 17:00:33
Green Eggs and Ham (Beginner Books B-16),Childrens,10.79,4,3,621e2c310cec8d32,2026-03-31 17:00:33
Counting Thyme,Childrens,10.62,1,3,157f693d9e600ccc,2026-03-31 17:00:33
Are We There Yet?,Childrens,10.66,3,3,ef9c4f2465513956,2026-03-31 17:00:33
Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),Childrens,52.88,4,2,d7b463918d3b8c39,2026-03-31 17:00:33
Matilda,Childrens,28.34,1,1,1053fb7ee17a1f33,2026-03-31 17:00:33
Charlie and the Chocolate Factory (Charlie Bucket #1),Childrens,22.85,3,1,1774749f2cee292f,2026-03-31 17:00:33
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Religion,37.97,2,16,fce19f9b4a943f22,2026-03-31 17:00:33
You Are What You Love: The Spiritual Power of Habit,Religion,21.87,4,15,796c87ddbbaaf8c5,2026-03-31 17:00:33
God: The Most Unpleasant Character in All Fiction,Religion,30.03,5,14,eec424a84c9e4c68,2026-03-31 17:00:33
The Book of Mormon,Religion,24.57,3,9,3f25a2fedae191cc,2026-03-31 17:00:33
"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",Religion,27.62,1,4,d12ca4020c2f602e,2026-03-31 17:00:33
The Bhagavad Gita,Religion,57.49,3,1,f3a0b8c835129558,2026-03-31 17:00:33
Choosing Our Religion: The Spiritual Lives of America's Nones,Religion,28.42,4,1,a812f6969ddf3e39,2026-03-31 17:00:33
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,Nonfiction,40.3,5,18,4c28def39d850cdf,2026-03-31 17:00:33
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Nonfiction,31.05,3,18,3c039985229453bf,2026-03-31 17:00:33
Reasons to Stay Alive,Nonfiction,26.41,2,17,c8f7f0cb1abb9cac,2026-03-31 17:00:33
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Nonfiction,23.11,5,17,c27f6e1f185b0383,2026-03-31 17:00:33
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Nonfiction,44.18,4,16,d170b5a0da46380e,2026-03-31 17:00:33
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Nonfiction,31.12,3,16,7858914fad68493c,2026-03-31 17:00:33
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Nonfiction,16.77,3,16,0da9aa9d24677fc0,2026-03-31 17:00:33
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Nonfiction,37.13,1,16,acd86a5426e21ca0,2026-03-31 17:00:33
The Electric Pencil: Drawings from Inside State Hospital No. 3,Nonfiction,56.06,1,16,a30b270e25489e5c,2026-03-31 17:00:33
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Nonfiction,41.83,4,16,87b0615b6e1f4d7b,2026-03-31 17:00:33
Reskilling America: Learning to Labor in the Twenty-First Century,Nonfiction,19.83,2,16,d7310206583a54b6,2026-03-31 17:00:33
In the Country We Love: My Family Divided,Nonfiction,22.0,4,16,b136b1b180ca753a,2026-03-31 17:00:33
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Nonfiction,54.35,2,16,311c0dd0e354a33e,2026-03-31 17:00:33
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Nonfiction,29.14,5,16,bee3672891cca906,2026-03-31 17:00:33
Algorithms to Live By: The Computer Science of Human Decisions,Nonfiction,30.81,1,16,38d45839cb1c83c1,2026-03-31 17:00:33
The Power of Now: A Guide to Spiritual Enlightenment,Nonfiction,43.54,2,15,8ec14b1576cb7cb5,2026-03-31 17:00:33
The Omnivore's Dilemma: A Natural History of Four Meals,Nonfiction,38.21,2,15,209adad1015af86f,2026-03-31 17:00:33
The Genius of Birds,Nonfiction,17.24,1,15,42d0d7c92b75fc1c,2026-03-31 17:00:33
The Artist's Way: A Spiritual Path to Higher Creativity,Nonfiction,38.49,5,15,dd047728de72ad62,2026-03-31 17:00:33
So You've Been Publicly Shamed,Nonfiction,12.23,2,15,1b33663ad7b95fd8,2026-03-31 17:00:33
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Nonfiction,19.43,3,15,3b9a3b4624b7fd6d,2026-03-31 17:00:33
Big Magic: Creative Living Beyond Fear,Nonfiction,30.8,3,15,1f329c2e7d7de8bd,2026-03-31 17:00:33
Becoming Wise: An Inquiry into the Mystery and Art of Living,Nonfiction,27.43,2,15,919e7cb2269a25d2,2026-03-31 17:00:33
Agnostic: A Spirited Manifesto,Nonfiction,12.51,5,15,d195e7f4ed697350,2026-03-31 17:00:33
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,Nonfiction,38.2,4,14,44a10f1ac8ce822e,2026-03-31 17:00:33
What's It Like in Space?: Stories from Astronauts Who've Been There,Nonfiction,19.6,2,14,6fd646a334e6e133,2026-03-31 17:00:33
The Year of Magical Thinking,Nonfiction,43.04,2,14,34c0d7c4ee5650af,2026-03-31 17:00:33
The Literature Book (Big Ideas Simply Explained),Nonfiction,17.43,3,14,4881cc53f6c8892f,2026-03-31 17:00:33
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,Nonfiction,15.77,1,14,923831a05c9f91f7,2026-03-31 17:00:33
Swell: A Year of Waves,Nonfiction,45.58,1,14,4c8b7540409da4ac,2026-03-31 17:00:33
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,Nonfiction,21.95,2,14,132ec5e8c984adef,2026-03-31 17:00:33
Looking for Lovely: Collecting the Moments that Matter,Nonfiction,29.14,5,14,24af96df0bafb925,2026-03-31 17:00:33
Let It Out: A Journey Through Journaling,Nonfiction,26.79,5,14,1174156c4a0eccaa,2026-03-31 17:00:33
Hamilton: The Revolution,Nonfiction,58.79,3,14,afa829857f82f99e,2026-03-31 17:00:33
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",Nonfiction,15.06,4,14,ac4dde0d1be05de0,2026-03-31 17:00:33
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",Nonfiction,51.75,5,14,a01f6d368ef64dc5,2026-03-31 17:00:33
Buying In: The Secret Dialogue Between What We Buy and Who We Are,Nonfiction,37.8,4,14,16ef91b9d827859c,2026-03-31 17:00:33
Brain on Fire: My Month of Madness,Nonfiction,49.32,5,14,a80f66b254fe9eb3,2026-03-31 17:00:33
Abstract City,Nonfiction,56.37,5,14,cf1aa2fc02a7d1e0,2026-03-31 17:00:33
13 Hours: The Inside Account of What Really Happened In Benghazi,Nonfiction,27.06,1,13,4be9d1910f8a4e80,2026-03-31 17:00:33
The Lonely City: Adventures in the Art of Being Alone,Nonfiction,33.26,2,12,582a21a1dbbef3cf,2026-03-31 17:00:33
The Diary of a Young Girl,Nonfiction,59.9,3,12,54fc03f1e1d355db,2026-03-31 17:00:33
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,Nonfiction,21.21,3,12,f40fea200e0c644f,2026-03-31 17:00:33
Furiously Happy: A Funny Book About Horrible Things,Nonfiction,41.46,4,12,c6a29d6df8de968c,2026-03-31 17:00:33
"The Sleep Revolution: Transforming Your Life, One Night at a Time",Nonfiction,11.68,4,11,985991708c47003e,2026-03-31 17:00:33
"Mother, Can You Not?",Nonfiction,16.89,5,11,28b2df9fadc9f07e,2026-03-31 17:00:33
A Mother's Reckoning: Living in the Aftermath of Tragedy,Nonfiction,19.53,3,11,2b69dec0193511d9,2026-03-31 17:00:33
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",Nonfiction,24.57,2,10,34669b2e9d407d3a,2026-03-31 17:00:33
Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,Nonfiction,35.92,2,9,7186241e043de5dc,2026-03-31 17:00:33
"Zero to One: Notes on Startups, or How to Build the Future",Nonfiction,34.06,3,8,e77033ce559947f7,2026-03-31 17:00:33
Why Not Me?,Nonfiction,17.76,1,8,04f6c929888f4f11,2026-03-31 17:00:33
When Breath Becomes Air,Nonfiction,39.36,2,8,b69c852e7e3956af,2026-03-31 17:00:33
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",Nonfiction,28.45,4,8,5a0d2e9284004266,2026-03-31 17:00:33
Smarter Faster Better: The Secrets of Being Productive in Life and Business,Nonfiction,38.89,5,8,a2475a245c9907c4,2026-03-31 17:00:33
Rising Strong,Nonfiction,21.82,3,8,52fc458ffc756faf,2026-03-31 17:00:33
Man's Search for Meaning,Nonfiction,29.48,3,8,4729afff3bea0f0a,2026-03-31 17:00:33
"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",Nonfiction,25.06,2,8,4d3a4c7b442a9a4e,2026-03-31 17:00:33
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,Nonfiction,12.55,3,8,044534b0b28b4e87,2026-03-31 17:00:33
I Will Find You,Nonfiction,44.21,1,8,bbf1ea50be8008ab,2026-03-31 17:00:33
Brazen: The Courage to Find the You That's Been Hiding,Nonfiction,19.22,2,8,77e9ea355bd8ae57,2026-03-31 17:00:33
Between the World and Me,Nonfiction,56.91,4,8,04e3de7ac35ec5cd,2026-03-31 17:00:33
Being Mortal: Medicine and What Matters in the End,Nonfiction,55.06,4,8,15ebd83e53d0391b,2026-03-31 17:00:33
"A Murder Over a Girl: Justice, Gender, Junior High",Nonfiction,13.2,3,8,fef91502cbacf23a,2026-03-31 17:00:33
For the Love: Fighting for Grace in a World of Impossible Standards,Nonfiction,45.13,3,7,2e40333991f56f45,2026-03-31 17:00:33
Finding God in the Ruins: How God Redeems Pain,Nonfiction,46.64,2,7,4e78f06160b717ac,2026-03-31 17:00:33
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Nonfiction,59.45,4,6,60376aa71be66083,2026-03-31 17:00:33
In Cold Blood,Nonfiction,49.98,4,6,fe0f34ebed689381,2026-03-31 17:00:33
"Girl, Interrupted",Nonfiction,42.14,3,6,384c7d41d5ffe9d1,2026-03-31 17:00:33
Why Save the Bankers?: And Other Essays on Our Economic and Political Crisis,Nonfiction,48.67,2,5,759ee7d059b1beb8,2026-03-31 17:00:33
Talking to Girls About Duran Duran: One Young Man's Quest for True Love and a Cooler Haircut,Nonfiction,25.15,4,5,1dba84766a5e87b8,2026-03-31 17:00:33
My Mother Was Nuts,Nonfiction,31.63,4,5,a4ce39a3720cd679,2026-03-31 17:00:33
"Data, A Love Story: How I Gamed Online Dating to Meet My Match",Nonfiction,32.35,3,5,bcf567421c581f0a,2026-03-31 17:00:33
The Jazz of Physics: The Secret Link Between Music and the Structure of the Universe,Nonfiction,38.71,3,4,6a57286a8890d8c5,2026-03-31 17:00:33
The Gunning of America: Business and the Making of American Gun Culture,Nonfiction,16.81,4,4,45033bdf3d9ed158,2026-03-31 17:00:33
The Geography of Bliss: One Grump's Search for the Happiest Places in the World,Nonfiction,28.23,2,4,c65ee14957c0fa5c,2026-03-31 17:00:33
